"date","geoid","county","state","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k"
2020-03-23,"USA-27099","Mower","Minnesota",0,0.86,2.14,0,0,0
2020-03-23,"USA-27091","Martin","Minnesota",0,1.14,5.81,0,0,0
2020-03-23,"USA-27079","Le Sueur","Minnesota",0,0.14,0.49,0,0,0
2020-03-23,"USA-27073","Lac qui Parle","Minnesota",1,0.14,2.16,0,0,0
2020-03-23,"USA-27063","Jackson","Minnesota",0,0.14,1.45,0,0,0
2020-03-23,"USA-27053","Hennepin","Minnesota",32,9,0.71,0,0,0
2020-03-23,"USA-27045","Fillmore","Minnesota",1,0.43,2.03,0,0,0
2020-03-23,"USA-27039","Dodge","Minnesota",0,0.29,1.36,0,0,0
2020-03-23,"USA-27037","Dakota","Minnesota",7,2,0.47,0,0,0
2020-03-23,"USA-27027","Clay","Minnesota",0,0.29,0.44,0,0,0
2020-03-23,"USA-27025","Chisago","Minnesota",1,0.29,0.5,0,0,0
2020-03-23,"USA-27021","Cass","Minnesota",1,0.14,0.48,0,0,0
2020-03-23,"USA-27019","Carver","Minnesota",0,1,0.95,0,0,0
2020-03-23,"USA-27013","Blue Earth","Minnesota",1,0.57,0.84,0,0,0
2020-03-23,"USA-27011","Big Stone","Minnesota",1,0.14,2.86,0,0,0
2020-03-23,"USA-27009","Benton","Minnesota",0,0,0,0,0,0
2020-03-23,"USA-27003","Anoka","Minnesota",2,0.57,0.16,0,0,0
2020-03-24,"USA-27999","Unknown","Minnesota",0,0.14,0,0,0,0
2020-03-24,"USA-27171","Wright","Minnesota",0,0.25,0.18,0,0,0
2020-03-24,"USA-27163","Washington","Minnesota",0,1.13,0.43,0,0,0
2020-03-24,"USA-27161","Waseca","Minnesota",0,0.29,1.54,0,0,0
2020-03-24,"USA-27157","Wabasha","Minnesota",0,0.14,0.66,0,0,0
2020-03-24,"USA-27147","Steele","Minnesota",2,0.71,1.95,0,0,0
2020-03-24,"USA-27145","Stearns","Minnesota",0,0.22,0.14,0,0,0
2020-03-24,"USA-27137","St. Louis","Minnesota",0,0.29,0.14,0,0,0
2020-03-24,"USA-27141","Sherburne","Minnesota",0,0.14,0.15,0,0,0
2020-03-24,"USA-27139","Scott","Minnesota",0,0.71,0.48,0,0,0
2020-03-24,"USA-27131","Rice","Minnesota",0,0.29,0.43,0,0,0
2020-03-24,"USA-27129","Renville","Minnesota",0,0,0,0,0,0
